Date,Heure,Agence,Email,Statut,Erreur
2026-03-22,16:33:35,RAS Intérim Toulouse,toulouse@ras-interim.fr,❌ Erreur,name 'YOUR_NAME' is not defined
2026-03-22,16:39:36,RAS Intérim Toulouse,toulouse@ras-interim.fr,✅ Envoyé,
2026-03-22,16:41:17,Manpower Toulouse Industrie,toulouse-industrie-services@manpower.fr,✅ Envoyé,
2026-03-22,16:42:05,PROMAN Toulouse,toulouse.2@proman-interim.com,✅ Envoyé,
2026-03-22,16:43:55,Network Intérim Toulouse,toulouse@network-interim.com,✅ Envoyé,
2026-03-22,16:45:25,Supplay Toulouse Logistique,toulouse@supplay.fr,✅ Envoyé,
2026-03-22,16:47:12,Randstad Toulouse Industrie,toulouse.001v91@randstad.fr,✅ Envoyé,
2026-03-22,16:48:43,Morgan Services Toulouse Jean-Jaurès,toulouse-jeanjaures@morganservices.fr,✅ Envoyé,
2026-03-22,16:50:03,Morgan Services Toulouse L'Union,toulouse-lunion@morganservices.fr,✅ Envoyé,
2026-03-22,16:59:54,RAS Intérim Toulouse,brsecen90@gmail.com,✅ Envoyé,
2026-03-22,17:00:51,Manpower Toulouse Industrie,nikita.chumak@insa-lyon.fr,✅ Envoyé,
